 1,14.2,17.2,15:40,12.3,6:10,4.1,0.0,0.0,16.3,59.5,00:00,N
 2,14.1,17.3,16:30,11.3,5:00,4.3,0.0,0.0,36.2,77.2,14:40,N
 3,16.1,18.1,13:00,14.6,22:00,2.2,0.0,0.0,28.5,61.2,14:10,N
 4,14.1,16.1,16:00,12.1,6:20,4.2,0.0,0.0,30.7,74.0,12:10,NNE
 5,15.4,18.5,17:20,12.7,6:30,2.9,0.0,0.0,21.1,57.9,7:50,N
 6,17.8,20.6,18:00,15.6,2:30,0.9,0.5,0.0,22.9,51.5,17:00,NNE
 7,18.1,20.3,15:20,16.4,6:30,0.6,0.4,0.0,33.6,82.1,16:50,NE
 8,18.7,21.6,15:10,16.4,5:50,0.4,0.9,0.0,36.0,74.0,4:30,N
 9,20.2,25.4,13:30,16.9,5:10,0.1,2.0,0.0,12.6,33.8,4:10,S
10,19.6,23.1,16:50,15.6,23:50,0.2,1.5,0.0,17.9,54.7,22:50,N
11,16.4,18.9,17:20,14.7,6:40,1.9,0.0,0.0,29.8,64.4,10:20,N
12,16.8,19.4,15:40,14.7,6:30,1.6,0.1,0.0,28.3,57.9,16:30,NNE
13,18.6,21.9,16:00,15.8,4:50,0.7,0.9,0.0,18.7,51.5,0:30,NE
14,20.6,24.3,15:20,17.9,2:10,0.0,2.3,0.0,12.7,37.0,2:40,NNE
15,17.5,19.7,18:10,15.1,7:10,1.0,0.2,0.0,24.8,59.5,6:30,ENE
16,18.2,20.4,13:40,16.6,3:20,0.6,0.5,0.0,36.4,83.7,18:10,NNE
17,18.1,20.6,13:00,16.4,23:20,0.6,0.4,0.0,45.7 103.0,14:30,NE
18,17.6,21.0,14:40,15.0,6:00,1.2,0.5,0.0,48.9,91.7,10:00,NNE
19,18.8,21.7,14:30,16.4,2:30,0.4,0.9,0.0,49.7,96.6,7:00,NNE
20,19.8,22.8,15:20,16.8,4:10,0.2,1.7,0.0,38.1,67.6,1:30,N
21,21.3,24.2,16:10,19.2,7:40,0.0,3.0,0.0,35.2,83.7,23:50,N
22,19.0,20.4,2:30,17.1,8:10,0.1,0.8,0.0,46.5,91.7,1:20,N
23,18.0,21.1,16:20,14.6,8:00,1.0,0.7,0.0,36.9,64.4,4:10,N
24,20.4,25.4,14:50,16.7,7:20,0.2,2.3,0.0,16.6,45.1,7:30,NNE
25,21.7,25.1,13:30,19.3,2:00,0.0,3.4,0.0,11.4,38.6,13:50,S
26,21.7,24.4,16:40,19.8,2:40,0.0,3.3,0.0,6.8,24.1,16:50,S
27,22.6,26.2,15:00,20.2,0:30,0.0,4.3,0.0,12.9,35.4,6:40,S
28,24.0,28.5,12:20,21.6,1:50,0.0,5.7,0.0,10.6,30.6,16:20,S
29,24.8,28.6,14:20,21.9,6:30,0.0,6.5,0.0,6.4,41.8,13:00,E
30,24.7,30.4,14:40,21.4,6:10,0.0,6.4,0.0,7.7,27.4,9:40,S
31,24.1,26.7,13:50,21.7,00:00,0.0,5.8,0.0,21.6,48.3,14:50,NNW
